question,1,2,3,4,prompt
"Las células T reguladoras (CD4+, CD25+, FoxP3+) se encuentran con frecuencia en el infil-trado de tumores sólidos. Estas células: ",Se consideran marcadores de buen pronóstico en el desarrollo del tumor.,Contribuyen a la defensa inmune antitumoral.,Producen interferón gamma que contribuye a la activación de linfocitos citotóxicos.,Producen interleucina-10 que contribuye a un microambiente tumoral inmunosupresor. ,"Las células T reguladoras (CD4+, CD25+, FoxP3+) se encuentran con frecuencia en el infil-trado de tumores sólidos. Estas células: 
1) Se consideran marcadores de buen pronóstico en el desarrollo del tumor.
2) Contribuyen a la defensa inmune antitumoral.
3) Producen interferón gamma que contribuye a la activación de linfocitos citotóxicos.
4) Producen interleucina-10 que contribuye a un microambiente tumoral inmunosupresor. 

Contesta con el siguiente formato: {'respuesta': <NÚMERO DE LA RESPUESTA>, 'justificación': <JUSTIFICACIÓN>}"
"El síndrome de hiper-IgM, una inmunodeficien-cia primaria asociada a diferentes mutaciones en las moléculas CD40 o su ligando CD40L, se ca-racteriza porque: ",Los pacientes presentan niveles elevados de IgM mientras que mantienen niveles normales de IgG e IgA en suero.,Presentan un defecto de la diferenciación de los linfocitos B en la médula ósea con aumento de linfocitos B inmaduros que expresan la ca-dena mu intracitoplasmática.,Existe un defecto en el proceso de colabora-ción entre linfocitos T y B necesario para el cambio de isotipo de las inmunoglobulinas.,Existe un defecto en el proceso de reordena-miento de los genes V de las inmunoglobuli-nas.,"El síndrome de hiper-IgM, una inmunodeficien-cia primaria asociada a diferentes mutaciones en las moléculas CD40 o su ligando CD40L, se ca-racteriza porque: 
1) Los pacientes presentan niveles elevados de IgM mientras que mantienen niveles normales de IgG e IgA en suero.
2) Presentan un defecto de la diferenciación de los linfocitos B en la médula ósea con aumento de linfocitos B inmaduros que expresan la ca-dena mu intracitoplasmática.
3) Existe un defecto en el proceso de colabora-ción entre linfocitos T y B necesario para el cambio de isotipo de las inmunoglobulinas.
4) Existe un defecto en el proceso de reordena-miento de los genes V de las inmunoglobuli-nas.

Contesta con el siguiente formato: {'respuesta': <NÚMERO DE LA RESPUESTA>, 'justificación': <JUSTIFICACIÓN>}"
"Entre los avances en inmunoterapia antitumoral se incluye el uso de linfocitos T modificados para que expresen un receptor CAR ( chimeric anti gen receptor , receptor quimérico para el antí geno), denominados CAR-T. En relación con las células CAR-T para el tratamiento de linfomas y leuce-mias que expresan CD19, señale la respuesta INCORRECTA: ","El elemento de reconocimiento del receptor CAR está basado en fragmentos variables de anticuerpos anti-CD19 ( single-chain variable fragments , scFvs).",El receptor CAR posee un dominio intracelular responsable de la transmisión de señales.,Entre los efectos secundarios graves de este tratamiento se encuentra el síndrome de libera-ción de citocinas.,El reconocimiento del antígeno por el receptor CAR depende de las moléculas de histocompa-tibilidad (HLA) clase I e n la célula tumoral.,"Entre los avances en inmunoterapia antitumoral se incluye el uso de linfocitos T modificados para que expresen un receptor CAR ( chimeric anti gen receptor , receptor quimérico para el antí geno), denominados CAR-T. En relación con las células CAR-T para el tratamiento de linfomas y leuce-mias que expresan CD19, señale la respuesta INCORRECTA: 
1) El elemento de reconocimiento del receptor CAR está basado en fragmentos variables de anticuerpos anti-CD19 ( single-chain variable fragments , scFvs).
2) El receptor CAR posee un dominio intracelular responsable de la transmisión de señales.
3) Entre los efectos secundarios graves de este tratamiento se encuentra el síndrome de libera-ción de citocinas.
4) El reconocimiento del antígeno por el receptor CAR depende de las moléculas de histocompa-tibilidad (HLA) clase I e n la célula tumoral.

Contesta con el siguiente formato: {'respuesta': <NÚMERO DE LA RESPUESTA>, 'justificación': <JUSTIFICACIÓN>}"
Apicultor de 50 años que presenta reacciones sistémicas graves (anafilaxia) tras picaduras de abejas y en quien se demuestra positividad al veneno de Apis mellifera  mediante pruebas cutá-neas en intradermorreacción e I gE específica en suero. ¿Qué tratamiento etiológico está indica-do?: ,Entrenamiento del paciente en el empleo de autoinyectores de adrenalina.,"Educación del paciente en el uso de antihista-mínicos bucodispersables, broncodilatadores en aerosol presurizado y corticoides orales.",Inmunoterapia específica subcutánea con ex-tracto de Apis mellifera  al 100%.,Empleo de fármacos inmunomodulares tipo ciclosporina oral.,"Apicultor de 50 años que presenta reacciones sistémicas graves (anafilaxia) tras picaduras de abejas y en quien se demuestra positividad al veneno de Apis mellifera  mediante pruebas cutá-neas en intradermorreacción e I gE específica en suero. ¿Qué tratamiento etiológico está indica-do?: 
1) Entrenamiento del paciente en el empleo de autoinyectores de adrenalina.
2) Educación del paciente en el uso de antihista-mínicos bucodispersables, broncodilatadores en aerosol presurizado y corticoides orales.
3) Inmunoterapia específica subcutánea con ex-tracto de Apis mellifera  al 100%.
4) Empleo de fármacos inmunomodulares tipo ciclosporina oral.

Contesta con el siguiente formato: {'respuesta': <NÚMERO DE LA RESPUESTA>, 'justificación': <JUSTIFICACIÓN>}"
"En relación con la esofagitis eosinofílica, señale la afirmación INCORRECTA: ",El diagnóstico de certeza se realiza mediante endoscopia digestiva alta y biopsia.,El tratamiento inicial es recomendar dieta de eliminación de aquellos alimentos en los que se demuestran reacciones  positivas in vivo o in vitro.,La inflamación subyacente indica un meca-nismo patogénico de hipersensibilidad Th1.,La inmunoterapia específica frente a los alér-genos respiratorios y alimentarios a los que se ha demostrado sensibilización es una práctica habitual. ,"En relación con la esofagitis eosinofílica, señale la afirmación INCORRECTA: 
1) El diagnóstico de certeza se realiza mediante endoscopia digestiva alta y biopsia.
2) El tratamiento inicial es recomendar dieta de eliminación de aquellos alimentos en los que se demuestran reacciones  positivas in vivo o in vitro.
3) La inflamación subyacente indica un meca-nismo patogénico de hipersensibilidad Th1.
4) La inmunoterapia específica frente a los alér-genos respiratorios y alimentarios a los que se ha demostrado sensibilización es una práctica habitual. 

Contesta con el siguiente formato: {'respuesta': <NÚMERO DE LA RESPUESTA>, 'justificación': <JUSTIFICACIÓN>}"
En una enfermedad genética con un patrón de herencia autosómico recesi vo el riesgo de la en-fermedad en una futura descendencia cuando ambos padres son portadores es: ,25 % en cada embarazo independiente del sexo de la descendencia.,50 % en cada embarazo de un hijo varón.,50 % en cada embarazo de una hija mujer.,50 % en cada embarazo independiente del sexo de la descendencia. ,"En una enfermedad genética con un patrón de herencia autosómico recesi vo el riesgo de la en-fermedad en una futura descendencia cuando ambos padres son portadores es: 
1) 25 % en cada embarazo independiente del sexo de la descendencia.
2) 50 % en cada embarazo de un hijo varón.
3) 50 % en cada embarazo de una hija mujer.
4) 50 % en cada embarazo independiente del sexo de la descendencia. 

Contesta con el siguiente formato: {'respuesta': <NÚMERO DE LA RESPUESTA>, 'justificación': <JUSTIFICACIÓN>}"
En un determinado gen la secuencia de ADN se transcribe para formar el ARN maduro y e s t e  ARN maduro se traduce para formar la proteí-na. ¿A qué región (secuencia) de la estructura de un gen se denomina intrón?: ,A la que inicia la transcripción para formar el ARN,A la que no está presente en el ARN maduro.,A la que se transcribe para estar presente en el ARN maduro y dar lugar a la proteína.,A la que regula la expresión del gen. ,"En un determinado gen la secuencia de ADN se transcribe para formar el ARN maduro y e s t e  ARN maduro se traduce para formar la proteí-na. ¿A qué región (secuencia) de la estructura de un gen se denomina intrón?: 
1) A la que inicia la transcripción para formar el ARN
2) A la que no está presente en el ARN maduro.
3) A la que se transcribe para estar presente en el ARN maduro y dar lugar a la proteína.
4) A la que regula la expresión del gen. 

Contesta con el siguiente formato: {'respuesta': <NÚMERO DE LA RESPUESTA>, 'justificación': <JUSTIFICACIÓN>}"
"Para establecer si el consumo habitual de ali-mentos ultraprocesados (e.g. embutidos) se aso-cia a ma yor ries go del síndrome de fra gilidad en adultos ma yores, se selecciona a 5.000 personas mayores de 70 años que viven en sus domicilios, se les pregunta por su dieta habitual y se identi-fica el consumo de ultraprocesados en cada uno de ellos. Se realiza un seguimiento durante 3 años para identificar quiénes desarrollan el sín-drome de fra gilidad por primera vez. Señale la respuesta correcta sobre el diseño de este estu-dio: ","Es un estudio de cohortes, porque se sigue a sujetos clasificados según su exposición para identificar el riesgo de un problema de salud.","Es un ensayo de campo, porque se realiza con personas que no son pacientes.","Es un estudio ecológico, porque incluye a un grupo muy amplio de población.","Es un estudio de casos y controles, en el que los casos toman muchos alimentos ultraproce-sados y los controles toman muy pocos. ","Para establecer si el consumo habitual de ali-mentos ultraprocesados (e.g. embutidos) se aso-cia a ma yor ries go del síndrome de fra gilidad en adultos ma yores, se selecciona a 5.000 personas mayores de 70 años que viven en sus domicilios, se les pregunta por su dieta habitual y se identi-fica el consumo de ultraprocesados en cada uno de ellos. Se realiza un seguimiento durante 3 años para identificar quiénes desarrollan el sín-drome de fra gilidad por primera vez. Señale la respuesta correcta sobre el diseño de este estu-dio: 
1) Es un estudio de cohortes, porque se sigue a sujetos clasificados según su exposición para identificar el riesgo de un problema de salud.
2) Es un ensayo de campo, porque se realiza con personas que no son pacientes.
3) Es un estudio ecológico, porque incluye a un grupo muy amplio de población.
4) Es un estudio de casos y controles, en el que los casos toman muchos alimentos ultraproce-sados y los controles toman muy pocos. 

Contesta con el siguiente formato: {'respuesta': <NÚMERO DE LA RESPUESTA>, 'justificación': <JUSTIFICACIÓN>}"
"Sobre los errores sistemáticos en los estudios observacionales, señale la afirmación INCO-RRECTA: ","Se clasifican en sesgos de selección, de infor-mación y de análisis.",Se pueden evitar aumentando el tamaño mues-tral.,Pueden modificar la magnitud del efecto inves-tigado.,Pueden afectar a la validez interna del estudio.,"Sobre los errores sistemáticos en los estudios observacionales, señale la afirmación INCO-RRECTA: 
1) Se clasifican en sesgos de selección, de infor-mación y de análisis.
2) Se pueden evitar aumentando el tamaño mues-tral.
3) Pueden modificar la magnitud del efecto inves-tigado.
4) Pueden afectar a la validez interna del estudio.

Contesta con el siguiente formato: {'respuesta': <NÚMERO DE LA RESPUESTA>, 'justificación': <JUSTIFICACIÓN>}"
El valor predictivo negativo de una prueba diag-nóstica es del 92 %. ¿Cómo debe interpretarse dicho resultado?: ,"De cada 100 resultados negativos, 92 corres-ponderán a personas sanas.","De cada 100 personas sanas, en 92 de ellos el resultado de la prueba será negativo.","De cada 100 enfermos, en 8 de ellos el resulta-do de la prueba será negativo.","De cada 100 resultados positivos, 8 de ellos corresponderán a enfermos.","El valor predictivo negativo de una prueba diag-nóstica es del 92 %. ¿Cómo debe interpretarse dicho resultado?: 
1) De cada 100 resultados negativos, 92 corres-ponderán a personas sanas.
2) De cada 100 personas sanas, en 92 de ellos el resultado de la prueba será negativo.
3) De cada 100 enfermos, en 8 de ellos el resulta-do de la prueba será negativo.
4) De cada 100 resultados positivos, 8 de ellos corresponderán a enfermos.

Contesta con el siguiente formato: {'respuesta': <NÚMERO DE LA RESPUESTA>, 'justificación': <JUSTIFICACIÓN>}"
"El motivo por el que una intervención tiene un grado de recomendación ""fuerte"" en una guía de práctica clínica es que: ",Tiene más beneficios que riesgos.,Está basada en un alto  nivel de evidencia.,Tiene un bajo coste.,Es la preferida por los pacientes.,"El motivo por el que una intervención tiene un grado de recomendación ""fuerte"" en una guía de práctica clínica es que: 
1) Tiene más beneficios que riesgos.
2) Está basada en un alto  nivel de evidencia.
3) Tiene un bajo coste.
4) Es la preferida por los pacientes.

Contesta con el siguiente formato: {'respuesta': <NÚMERO DE LA RESPUESTA>, 'justificación': <JUSTIFICACIÓN>}"
¿En cuál de las si guientes enfermedades debemos aplicar precauciones de aislamiento por contacto y aire (aerosoles)?: ,Sarampión.,Tuberculosis.,Norovirus.,Varicela.,"¿En cuál de las si guientes enfermedades debemos aplicar precauciones de aislamiento por contacto y aire (aerosoles)?: 
1) Sarampión.
2) Tuberculosis.
3) Norovirus.
4) Varicela.

Contesta con el siguiente formato: {'respuesta': <NÚMERO DE LA RESPUESTA>, 'justificación': <JUSTIFICACIÓN>}"
"En el diagrama de bosque ( forest plot ) que mues-tra los resultados de una revisión sistemática de estudios, el cuadrado que aparece al lado de cada estudio es: ",El tamaño de cada estudio.,El estimador de interés (como el riesgo relati-vo) de cada estudio.,El intervalo de confianza del estimador de interés en cada estudio.,El peso de cada estudio cuando se realiza un metaanálisis de dichos estudios.,"En el diagrama de bosque ( forest plot ) que mues-tra los resultados de una revisión sistemática de estudios, el cuadrado que aparece al lado de cada estudio es: 
1) El tamaño de cada estudio.
2) El estimador de interés (como el riesgo relati-vo) de cada estudio.
3) El intervalo de confianza del estimador de interés en cada estudio.
4) El peso de cada estudio cuando se realiza un metaanálisis de dichos estudios.

Contesta con el siguiente formato: {'respuesta': <NÚMERO DE LA RESPUESTA>, 'justificación': <JUSTIFICACIÓN>}"
En la valoración del riesgo de sesgo de un estudio epidemiológico se considera uno de los si guientes criterios: ,Insuficiente tamaño muestral.,La excesiva amplitud del intervalo de confian-za del 95 % del principal resultado del estudio,La falta de significación estadística de los re-sultados.,Errores de medida en alguna de las principales variables. ,"En la valoración del riesgo de sesgo de un estudio epidemiológico se considera uno de los si guientes criterios: 
1) Insuficiente tamaño muestral.
2) La excesiva amplitud del intervalo de confian-za del 95 % del principal resultado del estudio
3) La falta de significación estadística de los re-sultados.
4) Errores de medida en alguna de las principales variables. 

Contesta con el siguiente formato: {'respuesta': <NÚMERO DE LA RESPUESTA>, 'justificación': <JUSTIFICACIÓN>}"
"La me jor estrate gia preventiva para ralentizar la progresión de la enfermedad en un fumador diagnosticado de EPOC es lo grar el ob jetivo de cesación tabáquica. La si guiente medida NO se incluye en los protocolos actuales de primera elección para el tratami ento de refuerzo de la abstención tabáquica, porque faltan estudios demostrativos sobre su eficacia clínica y seguri-dad: ",Parche cutáneo de nicotina.,Bupropión.,Vareniclina.,Cigarrillo electrónico. ,"La me jor estrate gia preventiva para ralentizar la progresión de la enfermedad en un fumador diagnosticado de EPOC es lo grar el ob jetivo de cesación tabáquica. La si guiente medida NO se incluye en los protocolos actuales de primera elección para el tratami ento de refuerzo de la abstención tabáquica, porque faltan estudios demostrativos sobre su eficacia clínica y seguri-dad: 
1) Parche cutáneo de nicotina.
2) Bupropión.
3) Vareniclina.
4) Cigarrillo electrónico. 

Contesta con el siguiente formato: {'respuesta': <NÚMERO DE LA RESPUESTA>, 'justificación': <JUSTIFICACIÓN>}"
Las vacunas conjugadas: ,Son vacunas de virus y bacterias combinadas para hacerlas menos inmunógenas y que pro-voquen menos efectos secundarios.,Son vacunas de virus enteros conjugadas con un polisacárido para poder  combinarlas y hacer la trivalente o tetravalente vírica.,Son vacunas bacterianas conjugadas con un polisacárido para poder combinarlas y hacer vacunas penta o hexavalentes.,Son vacunas polisacáridas conjugadas con una proteína para hacerla dependiente de linfocitos T y lograr memoria inmunológica a largo pla-zo. ,"Las vacunas conjugadas: 
1) Son vacunas de virus y bacterias combinadas para hacerlas menos inmunógenas y que pro-voquen menos efectos secundarios.
2) Son vacunas de virus enteros conjugadas con un polisacárido para poder  combinarlas y hacer la trivalente o tetravalente vírica.
3) Son vacunas bacterianas conjugadas con un polisacárido para poder combinarlas y hacer vacunas penta o hexavalentes.
4) Son vacunas polisacáridas conjugadas con una proteína para hacerla dependiente de linfocitos T y lograr memoria inmunológica a largo pla-zo. 

Contesta con el siguiente formato: {'respuesta': <NÚMERO DE LA RESPUESTA>, 'justificación': <JUSTIFICACIÓN>}"
Un ensayo clínico en el cual l os participantes se asignan por azar a una de varias intervenciones clínicas se conoce como: ,Ensayo doble ciego.,Ensayo controlado no aleatorizado.,Ensayo controlado aleatorizado.,Ensayo de superioridad. ,"Un ensayo clínico en el cual l os participantes se asignan por azar a una de varias intervenciones clínicas se conoce como: 
1) Ensayo doble ciego.
2) Ensayo controlado no aleatorizado.
3) Ensayo controlado aleatorizado.
4) Ensayo de superioridad. 

Contesta con el siguiente formato: {'respuesta': <NÚMERO DE LA RESPUESTA>, 'justificación': <JUSTIFICACIÓN>}"
En el manejo de una mujer embarazada diagnos-ticada de trastorno bipolar. ¿Cuál de los siguien-tes fármacos es efectivo en esta enfermedad y se ha establecido como más seguro en el embara-zo?: ,Flufenazina.,Olanzapina.,Litio.,Carbamazepina.,"En el manejo de una mujer embarazada diagnos-ticada de trastorno bipolar. ¿Cuál de los siguien-tes fármacos es efectivo en esta enfermedad y se ha establecido como más seguro en el embara-zo?: 
1) Flufenazina.
2) Olanzapina.
3) Litio.
4) Carbamazepina.

Contesta con el siguiente formato: {'respuesta': <NÚMERO DE LA RESPUESTA>, 'justificación': <JUSTIFICACIÓN>}"
"Paciente de 69 años dia gnosticado de linfoma a quien se pauta un tratamiento intravenoso con metotrexato. Al tercer dí a de tratamiento pre-senta nefrotoxicidad y retraso en la eliminación renal del fármaco con pH urinario menor de 7. Teniendo en cuenta la naturaleza química del metotrexato (pKa entre 4 y 5 , 5 ) .  ¿Cuál de las siguientes actuaciones sería la más correcta para manejar la toxicidad?: ",Administración intravenosa de suero fisiológi-co con cloruro amónico para facilitar la elimi-nación renal del metotrexato.,Administración intravenosa de solución de bicarbonato sódico para acelerar la diuresis del metotrexato.,Administración enteral d e solución de bicarbo-nato sódico para reducir la absorción digestiva del metotrexato.,Administración intravenosa de furosemida en suero con pH neutro para provocar una diuresis forzada.,"Paciente de 69 años dia gnosticado de linfoma a quien se pauta un tratamiento intravenoso con metotrexato. Al tercer dí a de tratamiento pre-senta nefrotoxicidad y retraso en la eliminación renal del fármaco con pH urinario menor de 7. Teniendo en cuenta la naturaleza química del metotrexato (pKa entre 4 y 5 , 5 ) .  ¿Cuál de las siguientes actuaciones sería la más correcta para manejar la toxicidad?: 
1) Administración intravenosa de suero fisiológi-co con cloruro amónico para facilitar la elimi-nación renal del metotrexato.
2) Administración intravenosa de solución de bicarbonato sódico para acelerar la diuresis del metotrexato.
3) Administración enteral d e solución de bicarbo-nato sódico para reducir la absorción digestiva del metotrexato.
4) Administración intravenosa de furosemida en suero con pH neutro para provocar una diuresis forzada.

Contesta con el siguiente formato: {'respuesta': <NÚMERO DE LA RESPUESTA>, 'justificación': <JUSTIFICACIÓN>}"
